Year,Gender,Cohort,State,drivers_sum
1994,Female,25-29,Wisconsin,176142
1994,Female,25-29,Wyoming,13479
1994,Female,30-34,Alabama,156408
1994,Female,30-34,Alaska,28992
1994,Female,30-34,Arizona,151162
1994,Female,30-34,Arkansas,92651
1994,Female,30-34,California,1233840
1994,Female,30-34,Colorado,162914
1994,Female,30-34,Connecticut,134834
1994,Female,30-34,Delaware,31212
1994,Female,30-34,District of Columbia,24106
1994,Female,30-34,Florida,610667
1994,Female,30-34,Georgia,315987
1994,Female,30-34,Hawaii,43860
1994,Female,30-34,Idaho,42858
1994,Female,30-34,Illinois,437600
1994,Female,30-34,Indiana,234623
1994,Female,30-34,Iowa,97785
1994,Female,30-34,Kansas,95236
1994,Female,30-34,Kentucky,145581
1994,Female,30-34,Louisiana,155735
1994,Female,30-34,Maine,52626
1994,Female,30-34,Maryland,211535
1994,Female,30-34,Massachusetts,256884
1994,Female,30-34,Michigan,372282
1994,Female,30-34,Minnesota,149499
1994,Female,30-34,Mississippi,91907
1994,Female,30-34,Missouri,188020
1994,Female,30-34,Montana,25262
1994,Female,30-34,Nebraska,64023
1994,Female,30-34,Nevada,56940
1994,Female,30-34,New Hampshire,55287
1994,Female,30-34,New Jersey,322716
1994,Female,30-34,New Mexico,68879
1994,Female,30-34,New York,591105
1994,Female,30-34,North Carolina,286150
1994,Female,30-34,North Dakota,22310
1994,Female,30-34,Ohio,396405
1994,Female,30-34,Oklahoma,124173
1994,Female,30-34,Oregon,127711
1994,Female,30-34,Pennsylvania,429514
1994,Female,30-34,Rhode Island,41328
1994,Female,30-34,South Carolina,148459
1994,Female,30-34,South Dakota,26781
1994,Female,30-34,Tennessee,209397
1994,Female,30-34,Texas,737296
1994,Female,30-34,Utah,68214
1994,Female,30-34,Vermont,25070
1994,Female,30-34,Virginia,299522
1994,Female,30-34,Washington,216437
1994,Female,30-34,West Virginia,63123
1994,Female,30-34,Wisconsin,205170
1994,Female,30-34,Wyoming,17427
1994,Female,35-39,Alabama,158211
1994,Female,35-39,Alaska,30409
1994,Female,35-39,Arizona,153680
1994,Female,35-39,Arkansas,91800
1994,Female,35-39,California,1211320
1994,Female,35-39,Colorado,170859
1994,Female,35-39,Connecticut,137499
1994,Female,35-39,Delaware,30268
1994,Female,35-39,District of Columbia,21490
1994,Female,35-39,Florida,587711
1994,Female,35-39,Georgia,293178
1994,Female,35-39,Hawaii,44712
1994,Female,35-39,Idaho,45151
1994,Female,35-39,Illinois,441108
1994,Female,35-39,Indiana,211778
1994,Female,35-39,Iowa,103891
1994,Female,35-39,Kansas,100375
1994,Female,35-39,Kentucky,147005
1994,Female,35-39,Louisiana,155644
1994,Female,35-39,Maine,54842
1994,Female,35-39,Maryland,206833
1994,Female,35-39,Massachusetts,248021
1994,Female,35-39,Michigan,386096
1994,Female,35-39,Minnesota,161325
1994,Female,35-39,Mississippi,93554
